speed/Mbps,r_time_1,r_time_2,r_time_3,r_time_4,r_time_5,r_time_6,r_time_7,r_time_8,r_time_9,r_time_10
1,0.22861957550048828,0.15880322456359863,0.17310619354248047,0.17035198211669922,0.1847987174987793,0.0,0.1769425868988037,0.15405797958374023,0.15123724937438965,0.16966867446899414
2,0.19223880767822266,0.18490862846374512,0.2777986526489258,0.18525147438049316,0.14468145370483398,0.17879390716552734,0.1724414825439453,0.16834545135498047,0.1928846836090088,0.16301798820495605
3,0.22497034072875977,0.26950693130493164,0.30497312545776367,0.4704244136810303,0.18336272239685059,0.22054815292358398,0.19545984268188477,0.0,0.17261433601379395,0.0
4,0.1946115493774414,0.19366812705993652,0.18562960624694824,0.16373348236083984,0.21408414840698242,0.6099574565887451,0.19327020645141602,0.3278772830963135,0.20631051063537598,0.16505146026611328
5,0.4183065891265869,0.19941425323486328,0.20283269882202148,0.2034440040588379,0.1833477020263672,0.30992960929870605,0.21642589569091797,0.0,0.3147251605987549,0.20651698112487793
6,0.21902990341186523,0.48395299911499023,0.19832134246826172,0.20983195304870605,0.17188787460327148,0.5534136295318604,0.2023937702178955,0.16639423370361328,0.16026806831359863,0.18264460563659668
7,0.2042078971862793,0.17028403282165527,0.15169978141784668,0.2723672389984131,0.2628178596496582,0.18227720260620117,0.18585801124572754,0.1390681266784668,0.22480535507202148,0.6145906448364258
8,0.25479841232299805,0.2393190860748291,0.38509702682495117,0.22479820251464844,0.1842336654663086,0.1931476593017578,0.5134868621826172,0.14391851425170898,0.24741244316101074,0.2373950481414795
9,0.44506287574768066,0.1915757656097412,0.32688140869140625,0.1806352138519287,0.25883913040161133,0.2245943546295166,0.18993830680847168,0.15511679649353027,0.29163432121276855,0.15672802925109863
10,0.1567859649658203,0.21632122993469238,0.18025732040405273,0.2146918773651123,0.20384669303894043,0.2037363052368164,0.21428227424621582,0.15927791595458984,0.23617124557495117,0.20136237144470215
11,0.1880795955657959,0.20698332786560059,0.19199109077453613,0.19638729095458984,0.25699615478515625,0.23973512649536133,0.25966787338256836,0.35427308082580566,0.26291918754577637,0.18712568283081055
12,0.23614287376403809,0.2644524574279785,0.20680856704711914,0.1667022705078125,0.21674537658691406,0.1901397705078125,0.1886894702911377,0.2530055046081543,0.18582463264465332,0.18171477317810059
13,0.17936253547668457,0.2162466049194336,0.15188336372375488,0.16891932487487793,0.2300727367401123,0.28222012519836426,0.1729743480682373,0.22087907791137695,0.16100120544433594,0.21509933471679688
14,0.17322850227355957,0.33013224601745605,0.22548604011535645,0.21950888633728027,0.41773152351379395,0.40886640548706055,0.24713468551635742,0.22126507759094238,0.2369844913482666,0.1796872615814209
15,0.30292439460754395,0.25774478912353516,0.23920869827270508,0.19055962562561035,0.34059691429138184,0.20062518119812012,0.4909195899963379,0.21876835823059082,0.45119547843933105,0.3777310848236084
16,0.1965923309326172,0.2555663585662842,0.19675683975219727,0.19227838516235352,0.2751200199127197,0.23777103424072266,0.2645120620727539,0.39562392234802246,0.49637365341186523,0.20469379425048828
17,0.2767612934112549,0.21258306503295898,0.2166430950164795,0.19656920433044434,0.15664911270141602,0.23414039611816406,0.5915563106536865,0.338106632232666,0.22117400169372559,0.23806023597717285
18,0.33002233505249023,0.23812556266784668,0.5268473625183105,0.39200639724731445,0.2199540138244629,0.23062825202941895,0.19260907173156738,0.2283918857574463,0.13745450973510742,0.46067214012145996
19,0.2463688850402832,0.2973167896270752,0.4431920051574707,0.3341062068939209,0.3686342239379883,0.5045192241668701,0.31500744819641113,0.24749517440795898,0.31005263328552246,0.19803786277770996
20,0.7519659996032715,0.23305964469909668,0.47173595428466797,0.2631046772003174,0.2671988010406494,0.25885891914367676,0.4669051170349121,0.297091007232666,0.4020538330078125,0.4740712642669678
21,0.4046621322631836,0.2891051769256592,0.16896605491638184,0.21111297607421875,0.2790708541870117,0.31797194480895996,0.343233585357666,0.5067903995513916,0.33002567291259766,0.26880979537963867
22,0.3166999816894531,0.3495359420776367,0.2977113723754883,0.3287646770477295,0.23793244361877441,0.4751732349395752,0.13602328300476074,0.1888580322265625,0.18977689743041992,0.212202787399292
23,0.2062392234802246,0.3083784580230713,0.17211413383483887,0.2604713439941406,0.17047929763793945,0.23162508010864258,0.21981525421142578,0.2827796936035156,0.256239652633667,0.3197972774505615
24,0.5622069835662842,0.29804253578186035,0.3204782009124756,0.2523353099822998,0.3453819751739502,0.516970157623291,0.2556619644165039,0.28431129455566406,0.2534785270690918,0.21946048736572266
25,0.5744683742523193,0.429248571395874,0.2470848560333252,0.31030702590942383,0.2556443214416504,0.398712158203125,0.1661672592163086,0.36637306213378906,0.2725660800933838,0.3498542308807373
26,0.2680540084838867,0.1900331974029541,0.20472025871276855,0.2492048740386963,0.22052669525146484,0.17678022384643555,0.216217041015625,0.2454371452331543,0.22796177864074707,0.24970102310180664
27,0.22918057441711426,0.2661867141723633,0.2445974349975586,0.23156428337097168,0.24036455154418945,0.28151941299438477,0.22177934646606445,0.2649683952331543,0.27729249000549316,0.347736120223999
28,0.26897311210632324,0.27220845222473145,0.2689809799194336,0.528632640838623,0.29549527168273926,0.252460241317749,0.32839322090148926,0.27592039108276367,0.23592519760131836,0.25956296920776367
29,0.37543725967407227,0.31427717208862305,0.38797545433044434,0.4195847511291504,0.5102765560150146,0.2975759506225586,0.38114237785339355,0.34520673751831055,0.2963135242462158,0.4345738887786865
