speed/Mbps,r_time_1,loss_1,r_time_2,loss_2,r_time_3,loss_3,r_time_4,loss_4,r_time_5,loss_5,r_time_6,loss_6,r_time_7,loss_7,r_time_8,loss_8,r_time_9,loss_9,r_time_10,loss_10,r_time_11,loss_11,r_time_12,loss_12,r_time_13,loss_13,r_time_14,loss_14,r_time_15,loss_15,r_time_16,loss_16,r_time_17,loss_17,r_time_18,loss_18,r_time_19,loss_19,r_time_20,loss_20,r_time_21,loss_21,r_time_22,loss_22,r_time_23,loss_23,r_time_24,loss_24,r_time_25,loss_25,r_time_26,loss_26,r_time_27,loss_27,r_time_28,loss_28,r_time_29,loss_29,r_time_30,loss_30,r_time_31,loss_31,r_time_32,loss_32,r_time_33,loss_33,r_time_34,loss_34,r_time_35,loss_35,r_time_36,loss_36,r_time_37,loss_37,r_time_38,loss_38,r_time_39,loss_39,r_time_40,loss_40,r_time_41,loss_41,r_time_42,loss_42,r_time_43,loss_43,r_time_44,loss_44,r_time_45,loss_45,r_time_46,loss_46,r_time_47,loss_47,r_time_48,loss_48,r_time_49,loss_49,r_time_50,loss_50
5,0.108448982,-0.015625,0.105620623,-0.015625,0.106080532,-0.015625,0.107998371,-0.015625,0.107000828,-0.015625,0.104959965,-0.015625,0.105998993,-0.015625,0.106998205,-0.015625,0.106004477,-0.015625,0.106082916,-0.015625,0.107077837,-0.015625,0.104998827,-0.015625,0.10656023,-0.015625,0.107998848,-0.015625,0.120084524,-0.015625,0.10611248,-0.015625,0.11105895,-0.015625,0.105014563,-0.015625,0.107507706,-0.015625,0.107000113,-0.015625,0.110567808,-0.015625,0.107478619,-0.015625,0.105995178,-0.015625,0.105552435,-0.015625,0.107123375,-0.015625,0.105001688,-0.015625,0.107321262,-0.015625,0.109335184,-0.015625,0.107998133,-0.015625,0.107145548,-0.015625,0.107000828,-0.015625,0.106967688,-0.015625,0.107856989,-0.015625,0.110463619,-0.015625,0.107041359,-0.015625,0.107117653,-0.015625,0.107292891,-0.015625,0.107681751,-0.015625,0.107722521,-0.015625,0.107031822,-0.015625,0.107834101,-0.015625,0.107750654,-0.015625,0.107027054,-0.015625,0.107832432,-0.015625,0.107003212,-0.015625,0.107882977,-0.015625,0.1076262,-0.015625,0.109814167,-0.015625,0.105432034,-0.015625,0.111117363,-0.015625
10,0.109412909,-0.0078125,0.10828805,-0.0078125,0.107439995,-0.0078125,0.114281416,-0.0078125,0.106626511,-0.0078125,0.109323978,-0.0078125,0.109172583,-0.0078125,0.105789661,-0.0078125,0.108513832,-0.0078125,0.106093168,-0.0078125,0.106702566,-0.0078125,0.106390953,-0.0078125,0.105641127,-0.0078125,0.138905048,-0.0078125,0.109249353,-0.0078125,0.106088877,-0.0078125,0.107172728,-0.0078125,0.10516119,-0.0078125,0.1065588,-0.0078125,0.110476494,-0.0078125,0.105617285,-0.0078125,0.105997324,-0.0078125,0.112004519,-0.0078125,0.105083466,-0.0078125,0.106573343,-0.0078125,0.106117964,-0.0078125,0.112040758,-0.0078125,0.106067896,-0.0078125,0.107090473,-0.0078125,0.106000185,-0.0078125,0.107602358,-0.0078125,0.105997801,-0.0078125,0.111205339,-0.0078125,0.475272179,-0.0078125,0.10806179,-0.0078125,0.117398262,-0.0078125,0.106998444,-0.0078125,0.10492897,-0.0078125,0.106301785,-0.0078125,0.107997656,-0.0078125,0.105270624,-0.0078125,0.105292559,-0.0078125,0.106002808,-0.0078125,0.10522151,-0.0078125,0.105518579,-0.0078125,0.104128599,-0.0078125,0.106031895,-0.0078125,0.112255573,0,0.107282877,-0.0078125,0.105998993,-0.0078125
15,0.107195139,-0.005208333,0.105750084,-0.005208333,0.106001854,-0.005208333,0.105222464,-0.005208333,0.104021311,-0.005208333,0.106110811,-0.005208333,0.105410814,-0.005208333,0.105097771,-0.005208333,0.106589317,-0.005208333,0.106941462,-0.005208333,0.108402967,-0.005208333,0.104393721,-0.005208333,0.107000351,-0.005208333,0.104909658,-0.005208333,0.10610652,-0.005208333,0.108289957,-0.005208333,0.105000019,-0.005208333,0.105205059,-0.005208333,0.105205536,-0.005208333,0.105992556,-0.005208333,0.106139183,-0.005208333,0.107414722,-0.005208333,0.106494665,-0.005208333,0.108175039,-0.005208333,0.105760098,-0.005208333,0.109061718,-0.005208333,0.107554436,-0.005208333,0.105793715,-0.005208333,0.105969429,-0.005208333,0.108085632,-0.005208333,0.106758118,-0.005208333,0.106865883,-0.005208333,0.107201338,-0.005208333,0.10565567,-0.005208333,0.108206987,-0.005208333,0.108004332,-0.005208333,0.108825684,-0.005208333,0.106464386,-0.005208333,0.106021881,-0.005208333,0.104783535,-0.005208333,0.106264353,-0.005208333,0.106373072,-0.005208333,0.105964899,-0.005208333,0.106333256,-0.005208333,0.107123613,-0.005208333,0.10710001,-0.005208333,0.108224869,-0.005208333,0.109503508,-0.005208333,0.110310316,-0.005208333,0.106750488,-0.005208333
20,0.106992483,-0.00390625,0.106454611,-0.00390625,0.106296778,-0.00390625,0.108263493,-0.00390625,0.110193491,-0.00390625,0.107928276,-0.00390625,0.110439062,-0.00390625,0.10717845,-0.00390625,0.107823849,-0.00390625,0.107755661,-0.00390625,0.109936714,-0.00390625,0.107043982,-0.00390625,0.111846447,-0.00390625,0.107329845,-0.00390625,0.106139898,-0.00390625,0.110936403,-0.00390625,0.105665445,-0.00390625,0.106462002,-0.00390625,0.115502357,-0.00390625,0.107159615,-0.00390625,0.106731892,-0.00390625,0.105596542,-0.00390625,0.114304543,-0.00390625,0.106766224,-0.00390625,0.10710454,-0.00390625,0.105825901,-0.00390625,0.107582569,-0.00390625,0.109587908,-0.00390625,0.108823538,-0.00390625,0.108492374,-0.00390625,0.107375622,-0.00390625,0.108063698,-0.00390625,0.107553244,-0.00390625,0.106940746,-0.00390625,0.107414246,-0.00390625,0.10787344,-0.00390625,0.106986761,-0.00390625,0.107699156,-0.00390625,0.108319998,-0.00390625,0.106950998,-0.00390625,0.111291885,-0.00390625,0.106076717,-0.00390625,0.108547688,-0.00390625,0.106096506,-0.00390625,0.107281446,-0.00390625,0.107329369,-0.00390625,0.10761857,-0.00390625,0.107121468,-0.00390625,0.109838963,-0.00390625,0.106900215,-0.00390625
25,0.108502626,-0.003125,0.105981588,-0.003125,0.10696578,-0.003125,0.10719347,-0.003125,0.10738492,-0.003125,0.108428478,-0.003125,0.107181072,-0.003125,0.107463598,-0.003125,0.106051922,-0.003125,0.106614113,-0.003125,0.106372118,-0.003125,0.108787775,-0.003125,0.108752251,-0.003125,0.106653214,-0.003125,0.106345892,-0.003125,0.105624199,-0.003125,0.108654022,-0.003125,0.107910872,-0.003125,0.107992887,-0.003125,0.107107639,-0.003125,0.107481003,-0.003125,0.108545542,-0.003125,0.109254122,-0.003125,0.1130898,-0.003125,0.107227325,-0.003125,0.112433195,-0.003125,0.104342699,-0.003125,0.106305361,-0.003125,0.105436087,-0.003125,0.405027628,-0.003125,0.105038404,-0.003125,0.106711864,-0.003125,0.10731101,-0.003125,0.106071949,-0.003125,0.112525225,-0.003125,0.104640484,-0.003125,0.111378193,-0.003125,0.105005264,-0.003125,0.109289885,-0.003125,0.105379581,-0.003125,0.108506441,-0.003125,0.10776329,-0.003125,0.105967283,-0.003125,0.106939316,-0.003125,0.106873751,-0.003125,0.10505271,-0.003125,0.106017828,-0.003125,0.107355356,-0.003125,0.107845783,-0.003125,0.106566429,-0.003125
30,0.114497185,-0.002604167,0.112333775,-0.002604167,0.115824699,-0.002604167,0.113543987,-0.002604167,0.115989208,-0.002604167,0.111277819,-0.002604167,0.114589691,-0.002604167,0.112554312,-0.002604167,0.118916988,-0.002604167,0.115475178,-0.002604167,0.115613222,-0.002604167,0.113824606,-0.002604167,0.12612009,-0.002604167,0.112226725,-0.002604167,0.11478734,-0.002604167,0.113841295,-0.002604167,0.112035036,-0.002604167,0.112517834,-0.002604167,0.113090038,-0.002604167,0.114563227,-0.002604167,0.118117809,-0.002604167,0.128580332,-0.002604167,0.115445375,-0.002604167,0.146022081,-0.002604167,0.167096853,-0.002604167,0.146914005,-0.002604167,0.111169577,-0.002604167,0.113018274,-0.002604167,0.112448931,-0.002604167,0.11100173,-0.002604167,0.11178112,-0.002604167,0.116137981,-0.002604167,0.112926006,-0.002604167,0.111652136,-0.002604167,0.114011288,-0.002604167,0.114391804,-0.002604167,0.113145828,-0.002604167,0.115406513,-0.002604167,0.126476765,-0.002604167,0.112723351,-0.002604167,0.112653732,-0.002604167,0.116294622,-0.002604167,0.113097906,-0.002604167,0.113119125,-0.002604167,0.116363049,-0.002604167,0.113428831,-0.002604167,0.113626003,-0.002604167,0.113419771,-0.002604167,0.113119602,-0.002604167,0.117030382,-0.002604167
35,0.133588314,-0.002232143,0.132315159,-0.002232143,0.131422281,-0.002232143,0.130307674,-0.002232143,0.133405685,-0.002232143,0.132228374,-0.002232143,0.131611824,-0.002232143,0.136246443,-0.002232143,0.135466099,-0.002232143,0.132250309,-0.002232143,0.130387783,-0.002232143,0.132614136,-0.002232143,0.132186174,-0.002232143,0.133738756,-0.002232143,0.133799076,-0.002232143,0.13139534,-0.002232143,0.130970478,-0.002232143,0.13332963,-0.002232143,0.128821373,-0.002232143,0.132271767,-0.002232143,0.129361629,-0.002232143,0.131215572,-0.002232143,0.129300356,-0.002232143,0.131575108,-0.002232143,0.132736683,-0.002232143,0.128653526,-0.002232143,0.131634951,-0.002232143,0.131820202,-0.002232143,0.130555153,-0.002232143,0.132596016,-0.002232143,0.132886887,-0.002232143,0.130644083,-0.002232143,0.134257793,-0.002232143,0.129858017,-0.002232143,0.130514383,-0.002232143,0.130575895,-0.002232143,0.133528233,-0.002232143,0.129503012,-0.002232143,0.131686449,-0.002232143,0.133773088,-0.002232143,0.131207228,-0.002232143,0.133581877,-0.002232143,0.12964797,-0.002232143,0.132091522,-0.002232143,0.133875847,-0.002232143,0.14201498,-0.002232143,0.134603977,-0.002232143,0.145552874,-0.002232143,0.128854036,-0.002232143,0.168406248,-0.002232143
40,0.149064302,0,0.149739504,0,0.150256634,0,0.148433685,0,0.150570631,0,0.147603512,0,0.150319576,0,0.149817467,0,0.152251959,0,0.150401592,0,0.154300451,0,0.150821209,0,0.149299622,0,0.148721933,0,0.151001453,0,0.147470474,0,0.152258396,0,0.159417391,0,0.150792599,0,0.148988008,0,0.150190353,0,0.153431416,0,0.151974678,0,0.151317835,0,0.150148392,0,0.151940346,0,0.150136948,0,0.149409533,0,0.155637741,0,0.148736954,0,0.149741173,0,0.149011612,0,0.156392336,0,0.170414925,0,0.160677195,0,0.152283669,0,0.152716637,0,0.150467634,0,0.150714874,0,0.149347067,0,0.148393154,0,0.150382757,0,0.150057793,0,0.149333,0,0.155426264,0,0.150262117,0,0.152219534,0,0.150494099,0,0.149706364,0,0.147897959,0
45,0.1722188,0,0.170506716,0,0.170679808,0,0.170845747,0,0.16772747,0,0.167096615,0,0.166001558,0,0.170621872,0,0.165668488,0,0.172992706,0,0.165644884,0,0.165993929,0,0.16899538,0,0.168995142,0,0.170641661,0,0.173003674,0,0.171995401,0,0.169992924,0,0.166990995,0,0.465004921,0,0.167003632,0,0.166995287,0,0.170996904,0,0.167991638,0,0.175998449,0,0.166992664,0,0.166997671,0,0.168998003,0,0.169001579,0,0.166998386,0,0.168997526,0,0.168996334,0,0.17200613,0,0.17599988,0,0.16899991,0,0.17200017,0,0.167905569,0,0.168000698,0,0.167932034,0,0.167999268,0,0.169003963,0,0.168007135,0,0.164997101,0,0.167994738,0,0.169996977,0,0.168997765,0,0.173613548,0,0.169407368,0,0.16838026,0,0.16703105,0
50,0.193568707,0,0.183016777,0,0.186029911,0,0.190000296,0,0.190999746,0,0.188999653,0,0.186971903,0,0.185000181,0,0.184206724,0,0.181998968,0,0.188999414,0,0.185175419,0,0.182968378,0,0.185000181,0,0.188001156,0,0.185999155,0,0.196001053,0,0.188000202,0,0.182999372,0,0.193999529,0,0.185997486,0,0.186000347,0,0.186116219,0,0.188159704,0,0.185017109,0,0.192000866,0,0.186806917,0,0.182999849,0,0.185000658,0,0.181996822,0,0.190000057,0,0.191648245,0,0.192751884,0,0.189002752,0,0.18796587,0,0.190151453,0,0.186995506,0,0.18300128,0,0.183062792,0,0.1910007,0,0.183548927,0,0.185691833,0,0.194314957,0,0.188108444,0,0.18883419,0,0.185319185,0,0.186585903,0,0.189495087,0,0.191302538,0,0.184985638,0
