speed/Mbps,r_time_1,loss_1,r_time_2,loss_2,r_time_3,loss_3,r_time_4,loss_4,r_time_5,loss_5
1,0.18781399726867676,-0.015625,0.17096424102783203,-0.015625,0.1648869514465332,-0.015625,0.16572904586791992,-0.015625,0.17803168296813965,-0.015625
11,0.17490077018737793,-0.008522727272727293,0.19621682167053223,-0.008522727272727293,0.18449878692626953,-0.008522727272727293,0.17575860023498535,-0.008522727272727293,0.17244243621826172,-0.008522727272727293
21,0.1836261749267578,-0.004464285714285587,0.1910696029663086,-0.004464285714285587,0.18050098419189453,-0.004464285714285587,0.18126606941223145,-0.004464285714285587,0.18918132781982422,-0.004464285714285587
31,0.18973803520202637,-0.003024193548387011,0.1838982105255127,-0.003024193548387011,0.1948552131652832,-0.003024193548387011,0.1790781021118164,-0.003024193548387011,0.1810758113861084,-0.003024193548387011
41,0.2587716579437256,-0.0022865853658537993,0.20876622200012207,-0.0022865853658537993,0.18759393692016602,-0.0022865853658537993,0.30118846893310547,-0.0022865853658537993,0.186753511428833,-0.0022865853658537993
51,0.17264652252197266,-0.0018382352941177516,0.19039177894592285,-0.0018382352941177516,0.2805788516998291,-0.0018382352941177516,0.2595527172088623,-0.0018382352941177516,0.18747949600219727,-0.0018382352941177516
61,0.23868417739868164,-0.0015368852459016757,0.2200171947479248,-0.0015368852459016757,0.23596692085266113,-0.0015368852459016757,0.21163487434387207,-0.0015368852459016757,0.20174026489257812,-0.0015368852459016757
71,0.22373652458190918,-0.001320422535211252,0.2529408931732178,-0.001320422535211252,0.2183523178100586,-0.001320422535211252,0.2765324115753174,-0.001320422535211252,0.2361302375793457,-0.001320422535211252
81,0.2390742301940918,-0.0011574074074074403,0.3398318290710449,-0.0011574074074074403,0.4060969352722168,-0.0011574074074074403,0.41199564933776855,-0.0011574074074074403,0.39585423469543457,-0.0011574074074074403
91,0.41350293159484863,-0.0010302197802198876,0.3672480583190918,-0.00017170329670324058,0.5739719867706299,0.019574175824175755,0.2636077404022217,-0.0010302197802198876,0.5601844787597656,-0.0010302197802198876
101,0.5478646755218506,-0.0009282178217822068,0.9545838832855225,-0.0009282178217822068,1.0585205554962158,-0.0009282178217822068,0.8699145317077637,-0.0009282178217822068,2.0209922790527344,-0.0009282178217822068
111,1.0127229690551758,-0.0008445945945945166,1.3331446647644043,-0.0008445945945945166,0.2840235233306885,-0.0008445945945945166,0.3351473808288574,-0.0008445945945945166,0.3389854431152344,-0.00014076576576571576
121,0.33463168144226074,-0.00012913223140498253,0.3536562919616699,-0.0007747933884296732,0.3740425109863281,-0.0007747933884296732,0.39148616790771484,-0.0007747933884296732,0.3687150478363037,-0.00012913223140498253
131,0.45774173736572266,-0.00011927480916029687,0.44741082191467285,0.0004770992366411875,0.4323875904083252,0.004055343511450316,0.4696478843688965,-0.00011927480916029687,0.46465539932250977,-0.0007156488549617812
141,0.588233232498169,-0.0006648936170212671,0.5381186008453369,-0.0006648936170212671,0.6902782917022705,-0.0006648936170212671,1.035710096359253,-0.0006648936170212671,0.5772051811218262,-0.0006648936170212671
151,1.3225858211517334,-0.0006208609271523002,0.6429083347320557,0.0014486754966887005,0.6554098129272461,-0.00010347682119205004,0.6559059619903564,0.0014486754966887005,0.657238245010376,-0.00010347682119205004
161,0.7492043972015381,0.0023291925465839247,0.7955203056335449,0.004755434782608758,0.7666864395141602,-0.0005822981366458979,0.7669415473937988,-0.0005822981366458979,0.8419089317321777,-0.0005822981366458979
171,1.089477777481079,-0.0005482456140351033,0.8683266639709473,0.002649853801169666,0.8283312320709229,0.016812865497076057,0.9942378997802734,0.004934210526315819,0.8597171306610107,0.000822368421052766
181,0.9886863231658936,0.002071823204420009,0.9715981483459473,0.009409530386740417,0.957099199295044,0.008977900552486262,0.9854676723480225,0.0016401933701658544,0.9945979118347168,-8.63259668506533e-05
