speed/Mbps,r_time_1,loss_1,r_time_2,loss_2,r_time_3,loss_3,r_time_4,loss_4,r_time_5,loss_5
1,0.16742157936096191,-0.015625,0.13798856735229492,-0.015625,0.15326833724975586,-0.015625,0.14901971817016602,-0.015625,0.1497054100036621,-0.015625
11,0.20719003677368164,-0.008522727272727293,0.14520907402038574,-0.008522727272727293,0.14849305152893066,-0.008522727272727293,0.1303870677947998,-0.008522727272727293,0.16504383087158203,-0.008522727272727293
21,0.17063188552856445,-0.004464285714285587,0.17561078071594238,-0.004464285714285587,0.17400026321411133,-0.004464285714285587,0.16806983947753906,-0.004464285714285587,0.18387889862060547,-0.004464285714285587
31,0.18692326545715332,-0.003024193548387011,0.16456127166748047,-0.003024193548387011,0.1650242805480957,-0.003024193548387011,0.16176247596740723,-0.003024193548387011,0.16701173782348633,-0.003024193548387011
41,0.17735004425048828,-0.0022865853658537993,0.20482802391052246,-0.0022865853658537993,0.1830432415008545,-0.0022865853658537993,0.1613161563873291,-0.0022865853658537993,0.15357065200805664,-0.0022865853658537993
51,0.14609193801879883,-0.0018382352941177516,0.18712925910949707,-0.0018382352941177516,0.1477046012878418,-0.0018382352941177516,0.15876126289367676,-0.0018382352941177516,0.16640233993530273,-0.0018382352941177516
61,0.18159151077270508,-0.0015368852459016757,0.208143949508667,-0.0015368852459016757,0.16810989379882812,-0.0015368852459016757,0.17618227005004883,-0.0015368852459016757,0.17923736572265625,-0.0015368852459016757
71,0.16472148895263672,-0.001320422535211252,0.18434834480285645,-0.001320422535211252,0.17078351974487305,-0.001320422535211252,0.17139959335327148,-0.001320422535211252,0.18671488761901855,-0.001320422535211252
81,0.21500873565673828,-0.0011574074074074403,0.14390993118286133,-0.0011574074074074403,0.16195130348205566,-0.0011574074074074403,0.1581563949584961,-0.0011574074074074403,0.30931854248046875,-0.0011574074074074403
91,0.20897173881530762,-0.0010302197802198876,0.17351388931274414,-0.0010302197802198876,0.17988920211791992,-0.0010302197802198876,0.22310709953308105,-0.0010302197802198876,0.14132094383239746,-0.0010302197802198876
101,0.18910670280456543,-0.0009282178217822068,0.2189171314239502,-0.0009282178217822068,0.1737680435180664,-0.0009282178217822068,0.22520184516906738,-0.0009282178217822068,0.2307124137878418,-0.0009282178217822068
111,0.24324464797973633,-0.0008445945945945166,0.23356318473815918,-0.0008445945945945166,0.19132351875305176,-0.0008445945945945166,0.18660664558410645,-0.0008445945945945166,0.28613829612731934,-0.0008445945945945166
121,0.3292362689971924,-0.0007747933884296732,0.2950859069824219,-0.0007747933884296732,0.3526875972747803,-0.0007747933884296732,0.31703853607177734,-0.0007747933884296732,0.3498654365539551,-0.0007747933884296732
